"state","party","year","votes"
"DC","dem",2008,245800
"DC","dem",2012,267070
"DC","other",2004,3360
"DC","other",2008,2686
"DC","other",2012,5263
"DC","rep",2004,21256
"DC","rep",2008,17367
"DC","rep",2012,21381
"DE","dem",2004,200152
"DE","dem",2008,255459
"DE","dem",2012,242584
"DE","other",2004,3318
"DE","other",2008,4579
"DE","other",2012,5822
"DE","rep",2004,171660
"DE","rep",2008,152374
"DE","rep",2012,165484
"FL","dem",2004,3583524
"FL","dem",2008,4282074
"FL","dem",2012,4237756
"FL","other",2004,61744
"FL","other",2008,63046
"FL","other",2012,72976
"FL","rep",2004,3964522
"FL","rep",2008,4045624
"FL","rep",2012,4163447
"GA","dem",2004,1366155
"GA","dem",2008,1844123
"GA","dem",2012,1773827
"GA","other",2004,21469
"GA","other",2008,31590
"GA","other",2012,45324
"GA","rep",2004,1914256
"GA","rep",2008,2048759
"GA","rep",2012,2078688
"HI","dem",2004,231335
"HI","dem",2008,325201
"HI","dem",2012,306156
"HI","other",2004,3101
"HI","other",2008,7112
"HI","other",2012,7018
"HI","rep",2004,194116
"HI","rep",2008,120429
"HI","rep",2012,120937
"IA","dem",2004,741888
"IA","dem",2008,828940
"IA","dem",2012,822544
"IA","other",2004,13053
"IA","other",2008,25501
"IA","other",2012,29019
"IA","rep",2004,751957
"IA","rep",2008,682379
"IA","rep",2012,730617
"ID","dem",2004,181098
"ID","dem",2008,236440
"ID","dem",2012,212787
"ID","other",2004,8043
"ID","other",2008,15580
"ID","other",2012,18576
"ID","rep",2004,409235
"ID","rep",2008,403012
"ID","rep",2012,420911
"IL","dem",2004,2891550
"IL","dem",2008,3419348
"IL","dem",2012,3019512
"IL","other",2004,36826
"IL","other",2008,71844
"IL","other",2012,87286
"IL","rep",2004,2345946
"IL","rep",2008,2031179
"IL","rep",2012,2135216
"IN","dem",2004,969011
"IN","dem",2008,1374039
"IN","dem",2012,1152887
"IN","other",2004,19553
"IN","other",2008,31357
"IN","other",2012,51104
"IN","rep",2004,1479438
"IN","rep",2008,1345648
"IN","rep",2012,1420543
"KS","dem",2004,434993
"KS","dem",2008,514765
"KS","dem",2012,440726
"KS","other",2004,16307
"KS","other",2008,21388
"KS","other",2012,26611
"KS","rep",2004,736456
"KS","rep",2008,699655
"KS","rep",2012,692634
"KY","dem",2004,712733
"KY","dem",2008,751985
"KY","dem",2012,679364
"KY","other",2004,13682
"KY","other",2008,26061
"KY","other",2012,30273
"KY","rep",2004,1069439
"KY","rep",2008,1048462
"KY","rep",2012,1087150
"LA","dem",2004,820299
"LA","dem",2008,782989
"LA","dem",2012,809141
"LA","other",2004,20638
"LA","other",2008,29497
"LA","other",2012,32662
"LA","rep",2004,1102169
"LA","rep",2008,1148275
"LA","rep",2012,1152262
"MA","dem",2004,1803800
"MA","dem",2008,1904097
"MA","dem",2012,1921290
"MA","other",2004,37479
"MA","other",2008,68034
"MA","other",2012,58163
"MA","rep",2004,1071109
"MA","rep",2008,1108854
"MA","rep",2012,1188314
"MD","dem",2004,1334493
"MD","dem",2008,1629467
"MD","dem",2012,1677844
"MD","other",2004,27482
"MD","other",2008,42264
"MD","other",2012,47325
"MD","rep",2004,1024703
"MD","rep",2008,959862
"MD","rep",2012,971869
"ME","dem",2004,396842
"ME","dem",2008,421823
"ME","dem",2012,399235
"ME","other",2004,13709
"ME","other",2008,13967
"ME","other",2012,19473
"ME","rep",2004,330191
"ME","rep",2008,295273
"ME","rep",2012,291418
"MI","dem",2004,2479183
"MI","dem",2008,2872579
"MI","dem",2012,2558998
"MI","other",2004,46323
"MI","other",2008,80548
"MI","other",2012,50158
"MI","rep",2004,2313746
"MI","rep",2008,2048639
"MI","rep",2012,2110767
"MN","dem",2004,1445014
"MN","dem",2008,1573354
"MN","dem",2012,1546167
"MN","other",2004,36678
"MN","other",2008,61607
"MN","other",2012,70169
"MN","rep",2004,1346695
"MN","rep",2008,1275409
"MN","rep",2012,1320225
"MO","dem",2004,1259171
"MO","dem",2008,1441947
"MO","dem",2012,1223796
"MO","other",2004,16480
"MO","other",2008,37480
"MO","other",2012,51087
"MO","rep",2004,1455713
"MO","rep",2008,1445814
"MO","rep",2012,1482440
"MS","dem",2004,458094
"MS","dem",2008,554662
"MS","dem",2012,562949
"MS","other",2004,9067
"MS","other",2008,10606
"MS","other",2012,11919
"MS","rep",2004,684981
"MS","rep",2008,724597
"MS","rep",2012,710746
"MT","dem",2004,173710
"MT","dem",2008,231667
"MT","dem",2012,201839
"MT","other",2004,10661
"MT","other",2008,15679
"MT","other",2012,14165
"MT","rep",2004,266063
"MT","rep",2008,242763
"MT","rep",2012,267928
"NC","dem",2004,1525849
"NC","dem",2008,2142651
"NC","dem",2012,2178391
"NC","other",2004,13992
"NC","other",2008,39664
"NC","other",2012,56586
"NC","rep",2004,1961165
"NC","rep",2008,2128474
"NC","rep",2012,2270395
"ND","dem",2004,111052
"ND","dem",2008,141278
"ND","dem",2012,124827
"ND","other",2004,5171
"ND","other",2008,6742
"ND","other",2012,9637
"ND","rep",2004,196651
"ND","rep",2008,168561
"ND","rep",2012,188163
"NE","dem",2004,254328
"NE","dem",2008,333319
"NE","dem",2012,302081
"NE","other",2004,11044
"NE","other",2008,14983
"NE","other",2012,17234
"NE","rep",2004,512814
"NE","rep",2008,452979
"NE","rep",2012,475064
"NH","dem",2004,340511
"NH","dem",2008,384826
"NH","dem",2012,369561
"NH","other",2004,5990
"NH","other",2008,6251
"NH","other",2012,11493
"NH","rep",2004,331237
"NH","rep",2008,316534
"NH","rep",2012,329918
"NJ","dem",2004,1911430
"NJ","dem",2008,2215422
"NJ","dem",2012,2125101
"NJ","other",2004,30062
"NJ","other",2008,39608
"NJ","other",2012,36506
"NJ","rep",2004,1670003
"NJ","rep",2008,1613207
"NJ","rep",2012,1477569
"NM","dem",2004,373942
"NM","dem",2008,472422
"NM","dem",2012,415335
"NM","other",2004,8429
"NM","other",2008,10904
"NM","other",2012,32553
"NM","rep",2004,376930
"NM","rep",2008,346832
"NM","rep",2012,335788
"NV","dem",2004,397190
"NV","dem",2008,533736
"NV","dem",2012,531373
"NV","other",2004,13707
"NV","other",2008,15018
"NV","other",2012,19978
"NV","rep",2004,418690
"NV","rep",2008,412827
"NV","rep",2012,463567
"NY","dem",2004,4314280
"NY","dem",2008,4804701
"NY","dem",2012,4480244
"NY","other",2004,114402
"NY","other",2008,83211
"NY","other",2012,95486
"NY","rep",2004,2962567
"NY","rep",2008,2752728
"NY","rep",2012,2489569
"OH","dem",2004,2741167
"OH","dem",2008,2923134
"OH","dem",2012,2827710
"OH","other",2004,26873
"OH","other",2008,90218
"OH","other",2012,91697
"OH","rep",2004,2859828
"OH","rep",2008,2675009
"OH","rep",2012,2661433
"OK","dem",2004,503966
"OK","dem",2008,502496
"OK","dem",2012,443547
"OK","other",2004,0
"OK","other",2008,0
"OK","other",2012,0
"OK","rep",2004,959792
"OK","rep",2008,960165
"OK","rep",2012,891325
"OR","dem",2004,943163
"OR","dem",2008,1037291
"OR","dem",2012,970488
"OR","other",2004,26788
"OR","other",2008,52098
"OR","other",2012,64607
"OR","rep",2004,866831
"OR","rep",2008,738475
"OR","rep",2012,754175
"PA","dem",2004,2938095
"PA","dem",2008,3276363
"PA","dem",2012,2985257
"PA","other",2004,33822
"PA","other",2008,62889
"PA","other",2012,76144
"PA","rep",2004,2793847
"PA","rep",2008,2655885
"PA","rep",2012,2674958
"RI","dem",2004,259760
"RI","dem",2008,373907
"RI","dem",2012,279409
"RI","other",2004,7483
"RI","other",2008,9290
"RI","other",2012,9156
"RI","rep",2004,169046
"RI","rep",2008,189315
"RI","rep",2012,157151
"SC","dem",2004,661699
"SC","dem",2008,862449
"SC","dem",2012,865941
"SC","other",2004,18057
"SC","other",2008,23624
"SC","other",2012,26532
"SC","rep",2004,937974
"SC","rep",2008,1034896
"SC","rep",2012,1071645
"SD","dem",2004,149244
"SD","dem",2008,170924
"SD","dem",2012,145039
"SD","other",2004,6387
"SD","other",2008,7997
"SD","other",2012,8166
"SD","rep",2004,232584
"SD","rep",2008,203054
"SD","rep",2012,210610
"TN","dem",2004,1036477
"TN","dem",2008,1087437
"TN","dem",2012,960709
"TN","other",2004,16467
"TN","other",2008,33108
"TN","other",2012,35538
"TN","rep",2004,1384375
"TN","rep",2008,1479178
"TN","rep",2012,1462330
"TX","dem",2004,2832686
"TX","dem",2008,3528633
"TX","dem",2012,3308124
"TX","other",2004,51121
"TX","other",2008,69834
"TX","other",2012,115884
"TX","rep",2004,4526272
"TX","rep",2008,4479328
"TX","rep",2012,4569843
"UT","dem",2004,241199
"UT","dem",2008,327670
"UT","dem",2012,251813
"UT","other",2004,22903
"UT","other",2008,28670
"UT","other",2012,25027
"UT","rep",2004,663742
"UT","rep",2008,596030
"UT","rep",2012,740600
"VA","dem",2004,1454742
"VA","dem",2008,1959469
"VA","dem",2012,1963379
"VA","other",2004,27151
"VA","other",2008,38723
"VA","other",2012,60110
"VA","rep",2004,1716959
"VA","rep",2008,1725005
"VA","rep",2012,1822522
"VT","dem",2004,184067
"VT","dem",2008,219262
"VT","dem",2012,199239
"VT","other",2004,7062
"VT","other",2008,6810
"VT","other",2012,7353
"VT","rep",2004,121180
"VT","rep",2008,98974
"VT","rep",2012,92698
"WA","dem",2004,1510201
"WA","dem",2008,1750848
"WA","dem",2012,1755396
"WA","other",2004,43989
"WA","other",2008,56814
"WA","other",2012,79450
"WA","rep",2004,1304894
"WA","rep",2008,1229216
"WA","rep",2012,1290670
"WI","dem",2004,1489504
"WI","dem",2008,1676761
"WI","dem",2012,1620985
"WI","other",2004,29380
"WI","other",2008,43813
"WI","other",2012,39483
"WI","rep",2004,1478120
"WI","rep",2008,1262393
"WI","rep",2012,1407966
"WV","dem",2004,326541
"WV","dem",2008,303857
"WV","dem",2012,238269
"WV","other",2004,5473
"WV","other",2008,12039
"WV","other",2012,14514
"WV","rep",2004,423778
"WV","rep",2008,397466
"WV","rep",2012,417655
"WY","dem",2004,70776
"WY","dem",2008,82868
"WY","dem",2012,69286
"WY","other",2004,5023
"WY","other",2008,6832
"WY","other",2012,8813
"WY","rep",2004,167629
"WY","rep",2008,164958
"WY","rep",2012,170962
