"state","party","year","votes"
"AK","dem",2000,79004
"AK","other",2000,39158
"AK","rep",2000,167398
"AL","dem",2000,695602
"AL","other",2000,32540
"AL","rep",2000,944409
"AR","dem",2000,422768
"AR","other",2000,26073
"AR","rep",2000,472940
"AZ","dem",2000,685341
"AZ","other",2000,65023
"AZ","rep",2000,781652
"CA","dem",2000,5861203
"CA","other",2000,537224
"CA","rep",2000,4567429
"CO","dem",2000,738227
"CO","other",2000,119393
"CO","rep",2000,883748
"CT","dem",2000,816015
"CT","other",2000,82416
"CT","rep",2000,561094
"DC","dem",2000,171923
"DC","other",2000,11898
"DC","rep",2000,18073
"DE","dem",2000,180068
"DE","other",2000,10173
"DE","rep",2000,137288
"FL","dem",2000,2912253
"FL","other",2000,138067
"FL","rep",2000,2912790
"GA","dem",2000,1116230
"GA","other",2000,60854
"GA","rep",2000,1419720
"HI","dem",2000,410572
"HI","other",2000,49640
"HI","rep",2000,275690
"IA","dem",2000,638517
"IA","other",2000,42673
"IA","rep",2000,634373
"ID","dem",2000,138637
"ID","other",2000,26047
"ID","rep",2000,336937
"IL","dem",2000,2589026
"IL","other",2000,133676
"IL","rep",2000,2019421
"IN","dem",2000,901980
"IN","other",2000,51489
"IN","rep",2000,1245836
"KS","dem",2000,399276
"KS","other",2000,50608
"KS","rep",2000,622332
"KY","dem",2000,638898
"KY","other",2000,32717
"KY","rep",2000,872492
"LA","dem",2000,792344
"LA","other",2000,45441
"LA","rep",2000,927871
"MA","dem",2000,1616487
"MA","other",2000,207995
"MA","rep",2000,878502
"MD","dem",2000,1145782
"MD","other",2000,65901
"MD","rep",2000,813797
"ME","dem",2000,319951
"ME","other",2000,45250
"ME","rep",2000,286616
"MI","dem",2000,2170418
"MI","other",2000,109154
"MI","rep",2000,1953139
"MN","dem",2000,1168266
"MN","other",2000,160760
"MN","rep",2000,1109659
"MO","dem",2000,1111138
"MO","other",2000,58830
"MO","rep",2000,1189924
"MS","dem",2000,404964
"MS","other",2000,16732
"MS","rep",2000,573230
"MT","dem",2000,137126
"MT","other",2000,33682
"MT","rep",2000,240178
"NC","dem",2000,1257692
"NC","other",2000,22407
"NC","rep",2000,1631163
"ND","dem",2000,95284
"ND","other",2000,18120
"ND","rep",2000,174852
"NE","dem",2000,231780
"NE","other",2000,31377
"NE","rep",2000,433862
"NH","dem",2000,266348
"NH","other",2000,29174
"NH","rep",2000,273559
"NJ","dem",2000,1788850
"NJ","other",2000,114203
"NJ","rep",2000,1284173
"NM","dem",2000,286783
"NM","other",2000,25405
"NM","rep",2000,286417
"NV","dem",2000,279978
"NV","other",2000,27343
"NV","rep",2000,301575
"NY","dem",2000,4107697
"NY","other",2000,310928
"NY","rep",2000,2403374
"OH","dem",2000,2186190
"OH","other",2000,168058
"OH","rep",2000,2351119
"OK","dem",2000,474276
"OK","other",2000,15616
"OK","rep",2000,744337
"OR","dem",2000,720342
"OR","other",2000,100049
"OR","rep",2000,713577
"PA","dem",2000,2485967
"PA","other",2000,145091
"PA","rep",2000,2281127
"RI","dem",2000,249508
"RI","other",2000,29049
"RI","rep",2000,130555
"SC","dem",2000,565561
"SC","other",2000,31219
"SC","rep",2000,785937
"SD","dem",2000,118804
"SD","other",2000,6765
"SD","rep",2000,190700
"TN","dem",2000,981720
"TN","other",2000,32512
"TN","rep",2000,1061949
"TX","dem",2000,2433746
"TX","other",2000,174252
"TX","rep",2000,3799639
"UT","dem",2000,203053
"UT","other",2000,52605
"UT","rep",2000,515096
"VA","dem",2000,1217290
"VA","other",2000,84667
"VA","rep",2000,1437490
"VT","dem",2000,149022
"VT","other",2000,25511
"VT","rep",2000,119775
"WA","dem",2000,1247652
"WA","other",2000,130917
"WA","rep",2000,1108864
"WI","dem",2000,1242987
"WI","other",2000,118341
"WI","rep",2000,1237279
"WV","dem",2000,295497
"WV","other",2000,16152
"WV","rep",2000,336475
"WY","dem",2000,60481
"WY","other",2000,9923
"WY","rep",2000,147947
