"state","party","year","votes"
"AK","dem",2012,122640
"AK","other",2012,13179
"AK","rep",2012,164676
"AL","dem",2012,795590
"AL","other",2012,21997
"AL","rep",2012,1255675
"AR","dem",2012,394409
"AR","other",2012,27315
"AR","rep",2012,647744
"AZ","dem",2012,1025232
"AZ","other",2012,47673
"AZ","rep",2012,1233654
"CA","dem",2012,7854285
"CA","other",2012,344304
"CA","rep",2012,4839958
"CO","dem",2012,1323101
"CO","other",2012,6234
"CO","rep",2012,1185243
"CT","dem",2012,905083
"CT","other",2012,17311
"CT","rep",2012,634892
"DC","dem",2012,267070
"DC","other",2012,5263
"DC","rep",2012,21381
"DE","dem",2012,242584
"DE","other",2012,5822
"DE","rep",2012,165484
"FL","dem",2012,4237756
"FL","other",2012,72976
"FL","rep",2012,4163447
"GA","dem",2012,1773827
"GA","other",2012,45324
"GA","rep",2012,2078688
"HI","dem",2012,306156
"HI","other",2012,7018
"HI","rep",2012,120937
"IA","dem",2012,822544
"IA","other",2012,29019
"IA","rep",2012,730617
"ID","dem",2012,212787
"ID","other",2012,18576
"ID","rep",2012,420911
"IL","dem",2012,3019512
"IL","other",2012,87286
"IL","rep",2012,2135216
"IN","dem",2012,1152887
"IN","other",2012,51104
"IN","rep",2012,1420543
"KS","dem",2012,440726
"KS","other",2012,26611
"KS","rep",2012,692634
"KY","dem",2012,679364
"KY","other",2012,30273
"KY","rep",2012,1087150
"LA","dem",2012,809141
"LA","other",2012,32662
"LA","rep",2012,1152262
"MA","dem",2012,1921290
"MA","other",2012,58163
"MA","rep",2012,1188314
"MD","dem",2012,1677844
"MD","other",2012,47325
"MD","rep",2012,971869
"ME","dem",2012,399235
"ME","other",2012,19473
"ME","rep",2012,291418
"MI","dem",2012,2558998
"MI","other",2012,50158
"MI","rep",2012,2110767
"MN","dem",2012,1546167
"MN","other",2012,70169
"MN","rep",2012,1320225
"MO","dem",2012,1223796
"MO","other",2012,51087
"MO","rep",2012,1482440
"MS","dem",2012,562949
"MS","other",2012,11919
"MS","rep",2012,710746
"MT","dem",2012,201839
"MT","other",2012,14165
"MT","rep",2012,267928
"NC","dem",2012,2178391
"NC","other",2012,56586
"NC","rep",2012,2270395
"ND","dem",2012,124827
"ND","other",2012,9637
"ND","rep",2012,188163
"NE","dem",2012,302081
"NE","other",2012,17234
"NE","rep",2012,475064
"NH","dem",2012,369561
"NH","other",2012,11493
"NH","rep",2012,329918
"NJ","dem",2012,2125101
"NJ","other",2012,36506
"NJ","rep",2012,1477569
"NM","dem",2012,415335
"NM","other",2012,32553
"NM","rep",2012,335788
"NV","dem",2012,531373
"NV","other",2012,19978
"NV","rep",2012,463567
"NY","dem",2012,4480244
"NY","other",2012,95486
"NY","rep",2012,2489569
"OH","dem",2012,2827710
"OH","other",2012,91697
"OH","rep",2012,2661433
"OK","dem",2012,443547
"OK","other",2012,0
"OK","rep",2012,891325
"OR","dem",2012,970488
"OR","other",2012,64607
"OR","rep",2012,754175
"PA","dem",2012,2985257
"PA","other",2012,76144
"PA","rep",2012,2674958
"RI","dem",2012,279409
"RI","other",2012,9156
"RI","rep",2012,157151
"SC","dem",2012,865941
"SC","other",2012,26532
"SC","rep",2012,1071645
"SD","dem",2012,145039
"SD","other",2012,8166
"SD","rep",2012,210610
"TN","dem",2012,960709
"TN","other",2012,35538
"TN","rep",2012,1462330
"TX","dem",2012,3308124
"TX","other",2012,115884
"TX","rep",2012,4569843
"UT","dem",2012,251813
"UT","other",2012,25027
"UT","rep",2012,740600
"VA","dem",2012,1963379
"VA","other",2012,60110
"VA","rep",2012,1822522
"VT","dem",2012,199239
"VT","other",2012,7353
"VT","rep",2012,92698
"WA","dem",2012,1755396
"WA","other",2012,79450
"WA","rep",2012,1290670
"WI","dem",2012,1620985
"WI","other",2012,39483
"WI","rep",2012,1407966
"WV","dem",2012,238269
"WV","other",2012,14514
"WV","rep",2012,417655
"WY","dem",2012,69286
"WY","other",2012,8813
"WY","rep",2012,170962
